,Country,Geographic coordinates,Map references,Geography: Area - total,Military service age and obligation,Terrorism: Terrorist group(s),Military and Security: Military - note,LATITUDE,LONGITUDE,2020 Real GDP,2019 Real GDP,2018 Real GDP,GDP Growth Rate Est 1,GDP Growth Rate Est 2,GDP Growth Rate Est 3,GDP per Capita Est 1,GDP per Capita Est 2,GDP per Capita Est 3,Econ: Current Acct Bal Est 1,Econ: Current Acct Bal Est 2,Exports Est 1,Exports Est 2,Top Export - Country & %,Foreign Exchange & Gold - latest est,Total Population Electrification (2020 - 2019),Unemployment Rate (recent),Percent Population below poverty line,Population below poverty line - Year Recorded,Household income or consumption by % (-highest 10%),Household income or consumption by % (year recorded),Population (as of 2022),Percent of People 14 yrs and under,males 14 yrs and under,females 14 yrs and under,Percent of People 15-24 yrs and under,males between 15-24 years,females between 15-24 years,Percent of People 25-54 yrs,males 25-54 yrs,females 25-54 yrs,Percent of People 55-64,males 55-64 yrs,females 55-64 yrs,Median Age (in years),Male Median Age (in years),Female Median Age (in years),Population growth rate (2022 est),"Birth rate (births/1,000 population, 2022 est)","Death rate (births/1,000 population, 2022 estimates)","Net migration rate (migrant(s)/1,000 population, 2022 est.)",Urban Population (- % of total pop as of 2022),Sex ratio at Birth (male(s)/female),65 & Older Sex Ratio (male(s)/female),"Total Pop Sex Ratio (male(s)/female, as of 2022","Total Infant Mortality Rate (deaths/1,000 live births)",Total Pop Life expectancy at birth (in years),Male Life expectancy at birth (in years),"Female Life expectancy at birth (in years, 2022 est.)",Total fertility rate (children born/woman (2022 est.),Adult Obesity Prev Rate in percentages (2016 est.),Total Tobacco use in percentages (2020 est.),Total Internet Users (2020 est.),Internet users - % of Pop (2020 est.),2021 Military expenditures (as percent of GDP),2020 Military expenditures (as percent of GDP),2019 Military expenditures (as percent of GDP)
10,Argentina,"34 00 S, 64 00 W",South America,"2,780,400 sq km","18-24 years of age for voluntary military service (men and women); conscription suspended in 1995; citizens can still be drafted in times of crisis, national emergency, or war, or if the Defense Ministry is unable to fill all vacancies to keep the military functional (2022)note - as of 2021, women made up over 21% of the active duty military",Hizballah,"Argentina has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments (2022)",34 00 S, 64 00 W,893.31 ,991.52  ,991.52  ,-2.03% (2019 es,-2.53% (2018 ,2.83% (2017 e,"19,700 (2020 est.)","22,100 (2019 est.)","22,800 (2018 es",-$3.997 billion (2019 est.,-$27.049 billion (2018 est.),64.18 billion (2020 est.),79.29 billion (2019 et.),"Brazil 16%, Chi",55.33 billion (31 December 2017 est.),99% ,9.84,35.5%, 2019 ,31% ,2017 ,"46,245,668 ",24.02," 5,629,188",5294723,15.19,3539021,3367321,39.6%,9005758,9002931,9.07%,2000536,9002931,32.4,31.1,33.6,0.82%,15.58,7.32 ,-0.08,92.3%,1.07 ,0.57 ,0.98,9.35 ,78.31,75.23,81.59,2.18 ,28.3%,24.5%,39024016,86% ,0.8,0.8%,20.7%
15,Austria,"47 20 N, 13 20 E",Europe,"83,871 sq km","registration requirement at age 17, the legal minimum age for voluntary military service; 18 is the legal minimum age for compulsory military service (6 months), or optionally, alternative civil/community service (9 months); males 18 to 50 years old in the militia or inactive reserve are subject to compulsory service; in a January 2012 referendum, a majority of Austrians voted in favor of retaining the system of compulsory military service (with the option of alternative/non-military service) instead of switching to a professional army system (2021)note - as of 2019, women made up about 4% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),"Austria is constitutionally non-aligned, but is an EU member and actively participates in EU peacekeeping and crisis management operations under the Common Security and Defense Policy; Austria is not a member of NATO, but joined NATO’s Partnership for Peace framework in 1995 and participates in NATO-led crisis management and peacekeeping operations; as of 2022, more than 100,000 Austrian military and civilian personnel had taken part in more than 50 international peace support and humanitarian missions since 1960 (2022)",47 20 N, 13 20 E,463.12 ,495.8   ,495.8   ,1.42% (2019 est,2.58% (2018 es,2.4% (2017 e,"51,900 (2020 est.)","55,800 (2019 est.)","55,300 (2018 es",$12.667 billion (2019 est.,$5.989 billion (2018 est.),226.79 billion (2020 est.,247.17 billion (2019 et,"Germany 28%, Un",21.57 billion (31 December 2017 est.),100%,7.35,13.3%, 2018 ,23.5, 2012 ,"8,913,088 ",14.01," 635,803",605065,10.36,466921,451248,41.35,1831704,1831669,14.41,635342,1831669,44.5,43.1,45.8,0.32%,9.45 ,9.85 ,3.55 ,59.3%,1.05 ,0.65 ,0.96,3.24 ,82.27,79.64,85.04,1.51 ,20.1%,26.4%,7846840 ,88% ,0.9,0.7%,200.7%
16,Azerbaijan,"40 30 N, 47 30 E",Asia,"86,600 sq km","men age 18-35 years for compulsory military service; service obligation 18 months (non-university graduate) or 12 months (university graduates); 17 years of age for voluntary service (men and women); 17-year-olds are considered to be on active service at cadet military schools (2021)note - as of 2018, women made up an estimated 3% of the active duty military",Islamic State of Iraq and ash-Sham (ISIS); Islamic Revolutionary Guard Corps (IRGC)/Qods Force,"since November 2020, Russia has deployed about 2,000 peacekeeping troops to the area in and around Nagorno-Karabakh as part of a cease-fire agreement between Armenia and Azerbaijan; fighting erupted between the two countries over the Nagorno-Karabakh region in September of 2020; Nagorno-Karabakh lies within Azerbaijan but has been under control of ethnic Armenian forces (the ""Nagorno-Karabakh Defense Army"") backed by Armenia since a separatist war there ended in 1994; six weeks of fighting resulted in about 6,000 deaths and ended after Armenia ceded swathes of Nagorno-Karabakh territory; tensions remained high in 2022, and both sides have accused the other of provocations since the fighting ended; Armenia has accused Azerbaijani forces of a series of border intrusions and of seizing pockets of territory",40 30 N, 47 30 E,138.51 ,144.74  ,144.74  ,0.1% (2017 est.,)-3.1% (2016 es,)0.6% (2015 e,"13,700 (2020 est.)","14,400 (2019 est.)","14,200 (2018 es",$1.685 billion (2017 est.),$1.363 billion (2016 est.),15.21 billion (2020 est.),23.63 billion (2019 et.),"Italy 28%, Turk",6.681 billion (31 December 2017 est.),100%,5% ,4.9% ,2015 ,27.4, 2008,"10,353,296 ",22.84," 1,235,292",1095308,13.17,714718,629494,45.29,2291600,2330843,11.41,530046,2330843,32.6,31.1,34.2,0.67%,13.59,6.92 ,0 ,57.2%,1.06 ,0.49 ,0.98,23.51,74.15,71.08,77.41,1.86 ,19.9%,24% ,8579153 ,85% ,5.2,5.4%,203.8%
20,Bangladesh,"24 00 N, 90 00 E",Asia,"148,460 sq km","16-21 years of age for voluntary military service; Bangladeshi nationality and 10th grade education required; officers: 17-21 years of age, Bangladeshi nationality, and 12th grade education required (2022)",Harakat ul-Jihad-i-Islami/Bangladesh; Islamic State of Iraq and ash-Sham in Bangladesh (ISB); al-Qa'ida; al-Qa'ida in the Indian Subcontinent,"the military’s chief areas of focus are border, economic exclusion zone, and domestic security; the Army maintains a large domestic security presence in the Chittagong Hills area where it conducted counterinsurgency operations against tribal guerrillas from the 1970s until the late 1990s; since 2009, the military has been in a force-wide expansion and modernization program known as Forces Goal 2030 (2022)",24 00 N, 90 00 E,793.49 ,775.08  ,775.08  ,7.4% (2017 est.,)7.2% (2016 es.,6.8% (2015 e,"4,800 (2020 est.)","4,800 (2019 est.)4",")4,400 (2018 es",-$5.322 billion (2017 est.,$1.391 billion (2016 est.),38.78 billion (2020 est.),44.96 billion (2019 et.),United States 1,33.42 billion (31 December 2017 est.),83% ,4.4%,24.3%, 2016 ,27% ,2010 ,"165,650,475",26.48," 21,918,65",21158574,18.56,1518647,15001950,40.72,31694267,34535643,7.41%,5941825,34535643,27.9,27.1,28.6,0.93%,17.69,5.47 ,-2.9 ,39.7%,1.04 ,0.73 ,0.96,30.35,74.7 ,72.52,76.96,2.09 ,3.6% ,34.7%,41172346,25% ,1.2,1.3%,201.4%
23,Belgium,"50 50 N, 4 00 E",Europe,"30,528 sq km","18 years of age for male and female voluntary military service; conscription abolished in 1995 (2021)note - in 2020, women comprised about 9% of the military's full-time personnel",Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (ISIS),"Belgium is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949; Belgium hosts the NATO headquarters in Brusselsin 2015, Belgium, the Netherlands, and Luxembourg signed an agreement to conduct joint air policing of their territories; under the agreement, which went into effect in January of 2017, the Belgian and Dutch Air Forces trade responsibility for patrolling the skies over the three countries in 2018, the Defense Ministers of Belgium, Denmark and the Netherlands signed a Memorandum of Understanding (MOU) for the creation of a Composite Special Operations Component Command (C-SOCC); the C-SOCC was declared operational in December 2020",50 50 N, 4 00 E,557.11 ,594.47  ,594.47  ,1.41% (2019 est,1.49% (2018 es,1.9% (2017 e,"48,200 (2020 est.)","51,700 (2019 est.)","51,100 (2018 es",$1.843 billion (2019 est.),$4.135 billion (2018 est.),414.79 billion (2020 est.,436.3 billion (2019 et.,"Germany 17%, Fr",26.16 billion (31 December 2017 est.),100%,5.36,14.8%, 2018 ,28.4, 2006,"11,847,338 ",17.22," 1,033,383",984624,11.2%,670724,42145,39.23,2319777,2278450,13.14,764902,2278450,41.6,40.4,42.8,0.57%,10.95,9.64 ,4.38 ,98.2%,1.05 ,0.65 ,0.97,3.19 ,81.86,79.25,84.59,1.77 ,22.1%,23.4%,10620701,92% ,1.1,1%,)0.9%
25,Benin,"9 30 N, 2 15 E",Africa,"112,622 sq km",18-35 years of age for selective compulsory and voluntary military service; a higher education diploma is required; both sexes are eligible for military service; conscript tour of duty - 18 months (2021),al-Qa’ida (Jama’at Nusrat al Islam wal Muslimeen); Islamic State in the Greater Sahara (IS-GS); Boko Haram,"as of 2022, a key focus for the security forces of Benin was countering infiltrations into the country by terrorist groups tied to al-Qa'ida and the Islamic State of Iraq and ash-Sham (ISIS) operating just over the border from north Benin in Burkina Faso and Niger; in May 2022, the Benin Government said it was ""at war"" with terrorism after suffering a series of attacks from these groups; in addition, the FAB participated in the Multinational Joint Task Force (MNJTF) along with Cameroon, Chad, Niger, and Nigeria against Boko Haram and other terrorist groups operating in the general area of the Lake Chad Basin and along Nigeria's northeast border the FAB has a close working relationship with the Belgian armed forces; the Belgians offer military advice, training, and secondhand equipment donations, and deploy to Benin for limited military exercises (2022)",9 30 N, 2 15 E,40.29  ,8.79   ,8.79   ,5.6% (2017 est.,)4% (2016 es2,1% (2015 e,"3,300 (2020 est.)","3,300 (2019 est.)3",")3,200 (2018 es",-$1.024 billion (2017 est.,-$808 million (2016 est.),3.58 billion (2019 est.) ,3.85 billion (2018 et.) n,"Nigeria 25%, Ba",698.9 million (31 December 2017 est.),33% ,1% ,38.5%, 2019 ,29% ,2003,"13,754,688 ",45.56," 2,955,396",2906079,20.36,1300453,1318880,28.54,1735229,1935839,3.15%,193548,1935839,17 y,16.4,17.6,3.34%,41.15,8.01 ,0.24 ,49.5%,1.05 ,0.72 ,0.97,55.76,62.21,60.39,64.14,5.43 ,9.6% ,6.9% ,3152032 ,26% ,0.7,0.5%,200.5%
32,Brazil,"10 00 S, 55 00 W",South America,"8,515,770 sq km","18-45 years of age for compulsory military service for men (women exempted); only 5-10% of those inducted are required to serve; conscript service obligation is 10-12 months; 17-45 years of age for voluntary service (2022)note - in 2020, women comprised approximately 9% of the Brazilian military",Hizballah (2022),"the origins of Brazil's military stretch back to the 1640sthe three national police forces – the Federal Police, Federal Highway Police, and Federal Railway Police – have domestic security responsibilities and report to the Ministry of Justice and Public Security (Ministry of Justice); there are two distinct units within the state police forces: the civil police, which performs an investigative role, and the military police, charged with maintaining law and order in the states and the Federal District; despite the name, military police forces report to the Ministry of Justice, not the Ministry of Defense; the National Public Security Force (Forca Nacional de Seguranca Publica or SENASP) is a national police force made up of Military Police from various states; the armed forces also have some domestic security responsibilities and report to the Ministry of DefenseBrazil has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments (2022)",10 00 S, 55 00 W,2989430000,3115910000000,3115910000000,1.13% (2019 est,1.2% (2018 es,)1.62% (2017 e,"14,100 (2020 est.)","14,800 (2019 est.)","14,700 (2018 es",-$50.927 billion (2019 est,)-$41.54 billion (2018 est.),239.18 billion (2020 est.,260.07 billion (2019 et,"China 28%, Unit",374 billion (31 December 2017 est.)36,100%,11.9,4.2% ,2016 ,43.4, 2016 ,"217,240,060",21.11," 22,790,63",21907018,16.06,1725436,16750581,43.83,46070240,46729640,9.78%,9802995,46729640,33.2,32.3,34.1,0.7% ,13.96,6.81 ,-0.19,87.6%,1.05 ,0.58 ,0.97,13.31,75.92,72.5 ,79.5 ,1.8 ,22.1%,12.8%,17217312,81% ,1.3,1.4%,21.4%
36,Bulgaria,"43 00 N, 25 00 E",Europe,"110,879 sq km","18-27 years of age for voluntary military service; conscription ended in 2007; service obligation 6-9 months (2021)note - in 2021, women comprised about 17% of the Bulgarian military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS); Islamic Revolutionary Guard Corps/Qods Force,"Bulgaria officially became a member of NATO in 2004; Bulgaria conducts its own air policing mission, but because of Russian aggression in the Black Sea region, NATO allies have sent detachments of fighters to augment the Bulgarian Air Force since 2014 (2022)",43 00 N, 25 00 E,155.06 ,161.78  ,161.78  ,3.39% (2019 est,3.2% (2018 es,)3.5% (2017 e,"22,400 (2020 est.)","23,200 (2019 est.)","22,200 (2018 es",$2.06 billion (2019 est.)$,11 million (2018 est.),39.27 billion (2020 est.),44.04 billion (2019 et.),"Germany 16%, Ro",28.38 billion (31 December 2017 est.),100%,5.66,23.8%, 2019 ,31.2, 2017,"6,873,253 ",14.52," 520,190",491506,9.4% ,40306,4241,42.87,1538593,1448080,13.15,433943,1448080,43.7,41.9,45.6,-0.67,8.05 ,14.41,-0.29,76.4%,1.06 ,0.72 ,0.95,7.98 ,75.57,72.36,78.97,1.5 ,25% ,39% ,4853811 ,70% ,1.6,1.6%,23.1%
42,Cameroon,"6 00 N, 12 00 E",Africa,"475,440 sq km",18-23 years of age for male and female voluntary military service; no conscription; high school graduation required; service obligation 4 years (2021),Boko Haram; Islamic State of Iraq and ash-Sham – West Africa,"as of 2022, the FAC was largely focused on the threat from the terrorist group Boko Haram along its frontiers with Nigeria and Chad (Far North region) and an insurgency from armed Anglophone separatist groups in the North-West and South-West regions (as of early 2022, this internal conflict has left an estimated 4,000 civilians dead and over 700,000 people displaced since fighting started in 2016); in addition, the FAC often deployed units to the border region with the Central African Republic to counter intrusions from armed militias and bandits",6 00 N, 12 00 E,94.94  ,4.25   ,4.25   ,3.5% (2017 est.,)4.6% (2016 es.,5.7% (2015 e,"3,600 (2020 est.)","3,600 (2019 est.)3",")3,600 (2018 es",-$932 million (2017 est.)-,1.034 billion (2016 est.),7.73 billion (2019 est.) ,7.3 billion (2018 et.) no,"China 17%, Neth",3.235 billion (31 December 2017 est.),70% ,4.3%,37.5%, 2014 ,35.4, 2001,"29,321,637 ",42.34," 5,927,640",5820226,20.04,2782376,2776873,30.64,4191151,4309483,3.87%,520771,4309483,18.5,18.2,18.8,2.75%,35.53,7.73 ,-0.31,58.7%,1.03 ,0.74 ,0.99,48.73,63.27,61.49,65.09,4.55 ,11.4%,7.3% ,10087428,38% ,1% ,)1%,1.4%
43,Canada,"60 00 N, 95 00 W",North America,"9,984,670 sq km","17 years of age for voluntary male and female military service (with parental consent); 16 years of age for Reserve and Military College applicants; Canadian citizenship or permanent residence status required; maximum 34 years of age; service obligation 3-9 years (2022)note(s) - Canada opened up all military occupations to women in 2001; in 2020, women comprised about 16% of the CAF",Islamic State of Iraq and ash-Sham (ISIS); Hizballah,"Canada is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949 Canada is part of the North American Aerospace Defense Command (NORAD; established 1958); NORAD is a Canada-US bi-national military command responsible for monitoring and defending North American airspace; traditionally, a Canadian Armed Forces officer has served as the deputy commander of NORAD Canada’s defense relationship with the US extends back to the Ogdensburg Declaration of 1940, when the two countries formally agreed on military cooperation, including the establishment of the Permanent Joint Board on Defense (PJBD), which continued to be the highest-level bilateral defense forum between Canada and the US as of 2022 British troops withdrew from Canada in 1871 as part of the UK-US Treaty of Washington; following the withdrawal, the first Canadian militia, known as the Royal Canadian Regiment, was organized in 1883 to protect Canadian territory and defend British interests abroad, which it did in the South African War (1899-1902), Canada’s first overseas conflict; militia units formed the backbone of the more than 425,000 Canadian soldiers that went to Europe during World War I in what was called the Canadian Expeditionary Force; the Royal Canadian Navy was created in 1910, while the Canadian Air Force was established in 1920 and became the Royal Canadian Air Force in 1924; the Canadian Army was officially founded in 1942; a unified Canadian Armed Forces was created in 1968",60 00 N, 95 00 W,1742790000,1842330000000,1842330000000,1.66% (2019 est,2.02% (2018 es,3.17% (2017 e,"45,900 (2020 est.)","49,000 (2019 est.)","48,800 (2018 es",-$35.425 billion (2019 est,)-$42.862 billion (2018 est.),477.31 billion (2020 est.,555.83 billion (2019 et,US 73% (2019),86.68 billion (31 December 2017 est.),100%,5.67,9.4% ,2008 ,24.8, 2000,"38,232,593 ",15.99," 3,094,008",2931953,11.14,2167013,2032064,39.81,7527554,7478737,14.08,2624474,7478737,41.8,40.6,42.9,0.75%,10.17,8.12 ,5.46 ,81.8%,1.05 ,0.75 ,0.98,4.38 ,83.8 ,81.52,86.21,1.57 ,29.4%,13% ,36896088,97% ,1.4,1.4%,21.3%
